,title,subtitle,link
36,HISTORY MEN,Messi's impossible final mission? How Scaloni's new-look Argentina plan to defy history with back-to-back World Cup wins,https://www.thesun.co.uk/sport/37336300/messi-scaloni-argentina-defy-history-world-cup-2026/
37,LOVE GAME,"Ex-Premier League star, 29, 'goes public with stunning influencer girlfriend'",https://www.thesun.co.uk/sport/37351223/premier-league-star-public-stunning-influencer-girlfriend-nfl/
38,'ELL TO PAY,Cucurella risks Wag's wrath with cheeky 8-word comment about their relationship,https://www.thesun.co.uk/sport/37343993/chelsea-marc-cucurella-cheeky-eight-word-comment/
39,STAYING UNITED,Alex Ferguson impressed by simple feature of Man Utd's new training complex,https://www.thesun.co.uk/sport/37344320/sir-alex-ferguson-impressed-man-utd-training-complex/
40,NOU DIGS,Barcelona announce ticket prices for Nou Camp return with away fans banned,https://www.thesun.co.uk/sport/37354245/barcelona-nou-camp-return-tickets-prices/
41,LEGEND GONE,Former title winner and Wales international Rod Thomas dies aged 78,https://www.thesun.co.uk/sport/37348973/rod-thomas-dead-derby-county-title/
42,CHOOSE WISELY,"New Last Man Standing Prize League starts this Friday — compete for £1,000",https://www.thesun.co.uk/sport/football/dream-team/36870852/enter-last-man-standing-prize-league-cash-prize/
43,BEST BY SARR,Ismaila Sarr becomes Dream Team's most in-form player with European brace,https://www.thesun.co.uk/sport/football/dream-team/37247418/ismaila-sarr-form-crystal-palace-fantasy-premier-league/
44,ROLL THE DICE,Bold strategy: Emergency striker Mikel Merino a tempting option for GW11,https://www.thesun.co.uk/sport/football/dream-team/37235198/emergency-striker-mikel-merino-arsenal-fantasy-football-strategy/
45,NEY-VER TOO LATE,"Five Premier League clubs Neymar could join as Brazil star, 33, puts teams on red alert over January free transfer",https://www.thesun.co.uk/sport/37341559/neymar-premier-league-transfer-chelsea-manchester-united-january-liverpool/
46,ART OF THE DEAL,Arsenal 'to listen to offers for 3 stars including struggling England ace',https://www.thesun.co.uk/sport/37353289/arsenal-listen-transfer-offers-martinelli-white-nwaneri/
47,NOT A BALEBA,Man Utd 'make England star top target as interest cools in £100m-rated Baleba',https://www.thesun.co.uk/sport/37330787/man-utd-elliot-anderson-transfer-target-carlos-baleba/
48,BACK PAT,Ex-England star Bamford signs for manager he brutally insulted in shock move,https://www.thesun.co.uk/sport/37307362/patrick-bamford-transfer-leeds-coventry-sheffield-united/
49,STARTER FOR TEN,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
50,NEW SPINS,Betway casino offer: Stake £10 & Get 150 Free Spins,https://www.thesun.co.uk/betting/36583775/betway-casino-offer-stake-10-get-150-spins/
51,TIME IS MONEY,Fast withdrawal casinos: Instant payout casino sites in the UK (2025),https://www.thesun.co.uk/betting/33528325/fast-withdrawal-casinos/
52,OBI'S ONE CHANCE,"Man Utd files: Chido Obi back in first-team fold, concerns over Harry Maguire and Zirkzee's exit blocked",https://www.thesun.co.uk/sport/37319994/man-utd-files-chido-obi-harry-maguire-zirkzee/
53,SEOUL MAN,Ex-Man Utd star Jesse Lingard shows off penthouse with stunning views of Seoul,https://www.thesun.co.uk/sport/37329476/man-utd-jesse-lingard-seoul-penthouse-views-beauty/
54,RU-DE AWAKENING,How Amorim earned Man Utd stars' respect by smashing TV,https://www.thesun.co.uk/sport/37330446/ruben-amorim-man-utd-smash-tv-hairdryer-fergie/
55,TALK TO FRANK,Thomas Frank reveals interview for Man Utd job in Ratcliffe's garage,https://www.thesun.co.uk/sport/37337759/man-utd-thomas-frank-sir-jim-ratcliffe-tottenham/
56,SEEING RED,Eric Cantona launches stinging attack on Ratcliffe for 'destroying' Man Utd,https://www.thesun.co.uk/sport/37325900/eric-cantona-jim-ratcliffe-man-utd/
57,NEW BLOOD,Best new casino sites in the UK 2025,https://www.thesun.co.uk/betting/34357086/best-new-online-casinos-uk/
58,SAMUEL LUCKHURST,Ruben Amorim's critical change that has already worked wonders at Man Utd,https://www.thesun.co.uk/sport/37337727/ruben-amorim-man-utd-marcus-rashford-premier-league/
59,KARREN BRADY,National League demand for three promotion places is fair… and long overdue,https://www.thesun.co.uk/sport/37327159/national-leagues-demand-three-promotion-places-overdue-karren-brady/
60,SLOT-Y SECONDS,Why Arne Slot is in danger of becoming Liverpool's Claudio Ranieri,https://www.thesun.co.uk/sport/37144082/arne-slot-claudio-ranieri-liverpool-worse/
